article	number of edits
(18215896,)	2
(18218959,)	1
(18221301,)	1
(18206185,)	1
(18201770,)	1
(18205136,)	8
(18214474,)	14
(18201456,)	2
(18206987,)	1
(18215821,)	1
(18199681,)	325
(18201951,)	2
(18207722,)	3
(18205061,)	11
(18210769,)	12
(18215532,)	2
(18204591,)	2
(18223317,)	2
(18208201,)	17
(18210215,)	1
(18214962,)	37
(18219856,)	1
(18201067,)	44
(18218744,)	19
(18221870,)	3
(18223482,)	7
(18200341,)	2
(18205730,)	8
(18211517,)	7
(18204681,)	1
(18210405,)	1
(18217141,)	11
(18211996,)	1
(18207837,)	3
(18205416,)	1
(18215622,)	27
(18208786,)	23
(18218669,)	2
(18203897,)	30
(18208316,)	2
(18211682,)	6
(18216101,)	25
(18219467,)	1
(18202231,)	31
(18207746,)	3
(18205341,)	8
(18214175,)	3
(18196037,)	1
(18210000,)	26
(18215787,)	1
(18213126,)	1
(18222993,)	10
(18213861,)	7
(18217231,)	311
(18202140,)	9
(18211293,)	34
(18196202,)	2
(18209925,)	20
(18213291,)	1
(18218759,)	6
(18203987,)	1
(18199572,)	4
(18205985,)	10
(18207613,)	1
(18204936,)	1
(18214819,)	1
(18219582,)	1
(18213770,)	2
(18204466,)	6
(18217396,)	1
(18202305,)	2
(18208092,)	19
(18205687,)	7
(18207043,)	1
(18218924,)	10
(18223687,)	61
(18221266,)	35
(18198381,)	2
(18197332,)	2
(18220796,)	1
(18213960,)	3
(18219747,)	1
(18210569,)	1
(18209776,)	3
(18217586,)	10
(18197811,)	4
(18199183,)	546
(18206645,)	2
(18208001,)	3
(18205596,)	9
(18207208,)	1
(18196292,)	21
(18198290,)	27
(18204077,)	36
(18211887,)	1
(18214141,)	747
(18200867,)	19
(18196943,)	3
(18208182,)	5
(18204737,)	8
(18213571,)	2
(18196457,)	43
(18205216,)	1
(18208842,)	1
(18217676,)	1
(18208372,)	77
(18205711,)	1
(18207323,)	2
(18204918,)	11
(18214529,)	21
(18209321,)	33
(18213182,)	3
(18203878,)	1
(18197042,)	1
(18205876,)	10
(18207232,)	3
(18204827,)	9
(18210551,)	24
(18216066,)	2
(18219432,)	2
(18224900,)	1
(18224107,)	11
(18207983,)	419
(18205562,)	4
(18215752,)	1
(18218815,)	16
(18198256,)	1
(18199628,)	1
(18198579,)	197
(18204992,)	6
(18210460,)	2
(18221636,)	21
(18196653,)	78
(18212307,)	2
(18205487,)	62
(18201312,)	1
(18210146,)	18
(18221066,)	222
(18217931,)	2
(18205966,)	6
(18211737,)	73
(18205173,)	7
(18219547,)	1
(18212983,)	1
(18209576,)	9
(18215363,)	3
(18224222,)	1
(18204447,)	1
(18223173,)	1
(18197867,)	33
(18205652,)	1
(18207008,)	1
(18216891,)	130
(18209278,)	32
(18218889,)	1
(18197297,)	1
(18208536,)	1
(18218600,)	1
(18217567,)	42
(18223338,)	10
(18197776,)	1
(18203563,)	33
(18211373,)	13
(18220207,)	1
(18222461,)	1
(18209187,)	1
(18199883,)	20
(18205272,)	30
(18207668,)	28
(18214106,)	2
(18219893,)	2
(18200832,)	1
(18210715,)	55
(18215478,)	1
(18203753,)	2
(18197957,)	9
(18212587,)	27
(18196908,)	2
(18205767,)	33
(18202616,)	5
(18208147,)	26
(18200048,)	2
(18207858,)	3
(18220851,)	2
(18214031,)	1
(18213238,)	1
(18203678,)	1
(18197098,)	2
(18211463,)	1
(18207288,)	3
(18204883,)	10
(18216122,)	3
(18213717,)	2
(18215073,)	133
(18224956,)	4
(18222551,)	1
(18218120,)	30
(18221502,)	1
(18196528,)	3
(18212198,)	1
(18198924,)	2
(18205362,)	6
(18196058,)	4
(18221981,)	27
(18223593,)	10
(18197023,)	8
(18214675,)	1
(18196709,)	1
(18205543,)	3
(18209946,)	2
(18217731,)	1
(18206022,)	7
(18204973,)	3
(18214840,)	2
(18219603,)	1
(18218466,)	1
(18196618,)	3
(18208113,)	1
(18211239,)	1
(18201293,)	154
(18207064,)	1
(18203933,)	63
(18212767,)	32
(18206187,)	9
(18207559,)	3
(18219768,)	2
(18215328,)	1
(18218391,)	23
(18223138,)	33
(18196799,)	1
(18202251,)	33
(18214476,)	1
(18206989,)	1
(18196313,)	1
(18215823,)	1
(18223617,)	13
(18198327,)	33
(18197278,)	1
(18211908,)	11
(18207724,)	3
(18205063,)	8
(18213906,)	3
(18210771,)	1
(18222740,)	2
(18221947,)	1
(18217532,)	120
(18205823,)	1
(18204774,)	178
(18207154,)	1
(18213592,)	14
(18216962,)	1
(18199848,)	9
(18207633,)	3
(18214087,)	35
(18209912,)	2
(18213038,)	114
(18222905,)	21
(18214566,)	91
(18213517,)	3
(18215129,)	36
(18198401,)	26
(18200029,)	2
(18196584,)	108
(18205418,)	14
(18210949,)	27
(18224442,)	5
(18211684,)	28
(18204848,)	5
(18214731,)	19
(18210316,)	6
(18224921,)	3
(18223872,)	1
(18212163,)	30
(18202217,)	1
(18207748,)	2
(18205343,)	13
(18214161,)	33
(18206078,)	1
(18205029,)	13
(18214896,)	1
(18197723,)	1
(18217217,)	3
(18196674,)	7
(18211295,)	1
(18219089,)	28
(18209927,)	2
(18198202,)	1
(18212823,)	204
(18205987,)	21
(18213772,)	8
(18204468,)	1
(18218447,)	2
(18197632,)	1
(18196855,)	2
(18208094,)	1
(18201258,)	2
(18215879,)	1
(18223673,)	13
(18198383,)	2
(18206152,)	1
(18205119,)	10
